hindi,awadhi
“यह सब मुनिकी कृपा है' ऐसा कहकर वे बाहर चले आये। तब रानियोंने ब्राह्मणोंको बुलाया और आनन्दसहित उन्हें दान दिये। श्रेष्ठ ब्राह्मण आशीर्वाद देते हुए चले॥ ४ ॥,दिए दान आनंद समेता। चले बिप्रबर आसिष देता॥ ४ ॥
फिर भिक्षुकोंको बुलाकर करोड़ों प्रकारकी निछावरें उनको दीं। “चक्रवर्ती महाराज दशरथके चारों पुत्र चिरंजीवी हों!॥ २९५ ॥,चिरु जीवहुँ सुत चारि चक्रबर्ति दसरत्थ के॥ २९५ ॥
"यों कहते हुए वे अनेक प्रकारके सुन्दर वस्त्र पहन-पहनकर चले। आनन्दित होकर नगाड़ेवालोंने बड़े जोरसे नगाड़ोंपर चोट लगायी। सब लोगोंने जब यह समाचार पाया, तब घर-घर बधावे होने लगे॥ १ ॥",समाचार सब लोगन्ह पाए। लागे घर घर होन बधाए॥ १ ॥
"चौदहों लोकोंमें उत्साह भर गया कि जानकीजी और श्रीरघुनाथजीका विवाह होगा। यह शुभ समाचार पाकर लोग प्रेममग्न हो गये और रास्ते, घर तथा गलियाँ सजाने लगे॥ २ ॥",सुनि सुभ कथा लोग अनुरागे। मग॒ गृह गलीं सँवारन लागे॥ २ ॥
"यद्यपि अयोध्या सदा सुहावनी है, क्योंकि वह श्रीरामजीकी मड्गलमयी पवित्र पुरी है, तथापि प्रीति-पर-प्रीति होनेसे वह सुन्दर मज्गलरचनासे सजायी गयी॥ ३ ॥",तदपि प्रीति कै प्रीति सुहाई। मंगल रचना रची बनाई॥ ३ ॥
"ध्वजा, पताका, परदे और सुन्दर चँवरोंसे सारा बाजार बहुत ही अनूठा छाया हुआ है। सोनेके कलश, तोरण, मणियोंकी झालरें, हलदी, दूब, दही, अक्षत और मालाओंसे--॥ ४ ॥",कनक कलस तोरन मनि जाला। हरद दूब दधि अच्छत माला॥ ४ ॥
"लोगोंने अपने-अपने घरोंको सजाकर मड़लमय बना लिया। गलियोंको चतुरसमसे सींचा और [द्वारोंपर] सुन्दर चौक पुराये। [चन्दन, केशर, कस्तूरी और कपूरसे बने हुए एक सुगन्धित द्रवको चतुरसम कहते हैं]॥ २९६ ॥",बीथीं सींचीं चतुरसम चौकें चारू पुराइ॥ २९६ ॥
"बिजलीकी-सी कान्तिवाली चन्द्रमुखी, हरिनके बच्चेके-से नेत्रवाली और अपने सुन्दर रूपसे कामदेवकी स्त्री रतिके अभिमानको छुड़ानेवाली सुहागिनी स्त्रियाँ सभी सोलहों श्रृंगार सजकर, जहाँ-तहाँ झुंड-की-झुंड मिलकर,॥ १ ॥",बिधुबदनीं मृग सावक लोचनि। निज सरूप रति मानु बिमोचनि॥ १ ॥
"मनोहर वाणीसे मड्गनलगीत गा रही हैं, जिनके सुन्दर स्वरको सुनकर कोयलें भी लजा जाती हैं। राजमहलका वर्णन कैसे किया जाय, जहाँ विश्वको विमोहित करनेवाला मण्डप बनाया गया है॥ २ ॥",भूप भवन किमि जाइ बखाना। बिस्व बिमोहन रचेउठ बिताना॥ २ ॥
अनेकों प्रकारके मनोहर माड्लिक पदार्थ शोभित हो रहे हैं और बहुत-से नगाड़े बज रहे हैं। कहीं भाट विरुदावली (कुलकीर्ति) का उच्चारण कर रहे हैं और कहीं ब्राह्मण वेदध्वनि कर रहे हैं॥ ३ ॥,कतहुँ बिरिद बंदी उच्चरहीं। कतहुँ बेद धुनि भूसुर करहीं॥ ३ ॥
सुन्दरी स्त्रियाँ श्रीरामजी और श्रीसीताजीका नाम ले-लेकर मड्गलगीत गा रही हैं। उत्साह बहुत है और महल अत्यन्त ही छोटा है। इससे [उसमें न समाकर] मानो वह उत्साह (आनन्द) चारों ओर उमड़ चला है॥ ४ ॥,बहुत उछाहु भवनु अति थोरा। मानहुँ उमगि चला चहु ओरा॥ ४ ॥
"दशरथके महलकी शोभाका वर्णन कौन कवि कर सकता है, जहाँ समस्त देवताओंके शिरोमणि रामचन्द्रजीनी अवतार लिया है॥ २९७ ॥",जहाँ सकल सुर सीस मनि राम लीन्ह अवतार॥ २९७ ॥
"फिर राजाने भरतजीको बुला लिया और कहा कि जाकर घोड़े, हाथी और रथ सजाओ, जल्दी रामचद्धजीकी बारातमें चलो। यह सुनते ही दोनों भाई (भरतजी और शत्रुघ्ननी) आनन्दवश पुलकसे भर गये॥ १ ॥",चलहु बेगि रघुबीर बराता। सुनत पुलक पूरे दोउ श्राता॥ १ ॥
"भरतजीने सब साहनी (घुड़सालके अध्यक्ष) बुलाये और उन्हें [घोड़ोंको सजानेकी ] आज्ञा दी, वे प्रसन्‍न होकर उठ दौड़े। उन्होंने रुचिके साथ (यथायोग्य) जीनें कसकर घोड़े सजाये। रंग-रंगके उत्तम घोड़े शोभित हो गये॥ २ ॥",रचि रुचि जीन तुरग तिन्ह साजे। बरन बरन बर बाजि बिराजे॥ २ ॥
"सब घोड़े बड़े ही सुन्दर और चञ् ल करनी (चाल) के हैं। वे धरतीपर ऐसे पैर रखते हैं जैसे जलते हुए लोहेपर रखते हों। अनेकों जातिके घोड़े हैं, जिनका वर्णन नहीं हो सकता। [ ऐसी तेज चालके हैं] मानो हवाका निरादर करके उड़ना चाहते हैं॥ ३ ॥",नाना जाति न जाहिं बखाने। निदरि पवनु जनु चहत उड़ाने॥ ३ ॥
उन सब घोड़ोंपर भरतजीके समान अवस्थावाले सब छैल-छबीले राजकुमार सवार हुए। वे सभी सुन्दर हैं और सब आभूषण धारण किये हुए हैं। उनके हाथोंमें बाण और धनुष हैं तथा कमरमें भारी तरकस बँधे हैं॥ ४ ॥,सब सुंदर सब भूषनधारी। कर सर चाप तून कटि भारी॥ ४ ॥
"सभी चुने हुए छबीले छैल, शूरवीर, चतुर और नवयुवक हैं। प्रत्येक सवारके साथ दो पैदल सिपाही हैं, जो तलवार चलानेकी कलामें बड़े निपुण हैं॥ २९८ ॥",जुग पदचर असवार प्रति जे असिकला प्रबीन॥ २९८ ॥
शूरताका बाना धारण किये हुए रणधीर वीर सब निकलकर नगरके बाहर आ खड़े हुए। वे चतुर अपने घोड़ोंको तरह-तरहकी चालोंसे फेर रहे हैं और भेरी तथा नगाड़ेकी आवाज सुन-सुनकर प्रसन्न हो रहे हैं॥ १ ॥,फेरहिं चतुर तुरग गति नाना। हरषहिं सुनि सुनि पनव निसाना॥ १ ॥
"सारथियोंने ध्वजा, पताका, मणि और आभूषणोंको लगाकर रथोंको बहुत विलक्षण बना दिया है। उनमें सुन्दर चँवर लगे हैं और घंटियाँ सुन्दर शब्द कर रही हैं। वे रथ इतने सुन्दर हैं मानो सूर्यके रथकी शोभाको छोीने लेते हैं॥ २ ॥",चववँर चारु किंकिनि धुनि करहीं। भानु जान सोभा अपहरहीं॥ २ ॥
"अगणित श्यामकर्ण घोड़े थे। उनको सारथियोंने उन रथोंमें जोत दिया है, जो सभी देखनेमें सुन्दर और गहनोंसे सजाये हुए सुशोभित हैं, और जिन्हें देखकर मुनियोंके मन भी मोहित हो जाते हैं॥ ३ ॥",सुंदर सकल अलंकृत सोहे। जिन्हहि बिलोकत मुनि मन मोहे॥ ३ ॥
जो जलपर भी जमीनकी तरह ही चलते हैं। वेगकी अधिकतासे उनकी टाप पानीमें नहीं डूबती। अस्त्र-शस्त्र और सब साज सजाकर सारथियोंने रथियोंको बुला लिया॥ ४ ॥,अस्त्र सस्त्र सबु साजु बनाई। रथी सारथिन्ह लिए बोलाई॥ ४ ॥
"रथोंपर चढ़-चढ़कर बारात नगरके बाहर जुटने लगी। जो जिस कामके लिये जाता है, सभीको सुन्दर शकुन होते हैं॥ २९९ ॥",होत सगुन सुंदर सबहि जो जेहि कारज जात॥ २९९ ॥
"श्रेष्ठ हाथियोंपर सुन्दर अंबारियाँ पड़ी हैं। वे जिस प्रकार सजायी गयी थीं, सो कहा नहीं जा सकता। मतवाले हाथी घंटोंसे सुशोभित होकर (घंटे बजाते हुए) चले, मानो सावनके सुन्दर बादलोंके समूह [गरजते हुए] जा रहे हों॥ १ ॥",चले मत्त गज घंट बिराजी। मनहूँ सुभग सावन घन राजी॥ १ ॥
"सुन्दर पालकियाँ, सुखसे बैठने योग्य तामजान (जो कुर्सीनुमा होते हैं) और रथ आदि और भी अनेकों प्रकारकी सवारियाँ हैं। उनपर श्रेष्ठ ब्राह्मणोंके समूह चढ़कर चले, मानो सब वेदोंके छन्‍्द ही शरीर धारण किये हुए हों॥ २ ॥",तिन्ह चढ़ि चले बिप्रबर बूंदा। जनु तनु धरें सकल श्रुति छंदा॥ २ ॥
"मागध, सूत, भाट और गुण गानेवाले सब, जो जिस योग्य थे, वैसी सवारीपर चढ़कर चले। बहुत जातियोंके खच्चर, ऊँट और बैल असंख्यों प्रकारकी वस्तुएँ लाद-लादकर चले॥ ३ ॥",बेसर ऊँट बृषभ बहु जाती। चले बस्तु भरि अगनित भाँती॥ ३ ॥
कहार करोड़ों काँवरें लेकर चले। उनमें अनेकों प्रकारकी इतनी वस्तुएँ थीं कि जिनका वर्णन कौन कर सकता है। सब सेवकोंके समूह अपना-अपना साज-समाज बनाकर चले॥ ४ ॥,चले सकल सेवक समुदाई। निज निज साजु समाजु बनाई॥ ४ ॥
सबके हृदयमें अपार हर्ष है और शरीर पुलकसे भरे हैं। [सबको एक ही लालसा लगी है कि] हम श्रीराम-लक्ष्मण दोनों भाइयोंको नेत्र भरकर कब देखेंगे॥ ३०० ॥,कब॒हिं देखिबे नयन भरि रामु लखनु दोउ बीर॥ ३०० ॥
"हाथी गरज रहे हैं, उनके घंटोंकी भीषण ध्वनि हो रही है। चारों ओर रथोंकी घरघराहट और घोड़ोंकी हिनहिनाहट हो रही है। बादलोंका निरादर करते हुए नगाड़े घोर शब्द कर रहे हैं। किसीको अपनी-परायी कोई बात कानोंसे सुनायी नहीं देती॥ १ ॥",निदरि घनहि घुर्म्मरहिं निसाना। निज पराइ कछु सुनिअ न काना॥ १ ॥
राजा दशरथके दरवाजेपर इतनी भारी भीड़ हो रही है कि वहाँ पत्थर फेंका जाय तो वह भी पिसकर धूल हो जाय। अटारियोंपर चढी स्त्रियाँ मड़्ल-थालोंमें आरती लिये देख रही हैं॥ २ ॥,चढ़ी अटारिन्ह देखहिं नारीं। लिए आरती मंगल थारीं॥ २ ॥
और नाना प्रकारके मनोहर गीत गा रही हैं। उनके अत्यन्त आनन्दका बखान नहीं हो सकता। तब सुमन्त्रजीने दो रथ सजाकर उनमें सूर्यके घोड़ोंको भी मात करनेवाले घोड़े जोते॥ ३ ॥,तब सुमंत्र दुइ्ड स्यंदन साजी। जोते रबि हय निंदक बाजी॥ ३ ॥
"दोनों सुन्दर रथ वे राजा दशरथके पास ले आये, जिनकी सुन्दरताका वर्णन सरस्वतीसे भी नहीं हो सकता। एक रथपर राजसी सामान सजाया गया। और दूसरा जो तेजका पुंज और अत्यन्त ही शोभायमान था,॥ ४ ॥",राज समाजु एक रथ साजा।॥। दूसर तेज पुंज अति भ्राजा॥ ४ ॥
"उस सुन्दर रथपर राजा वसिष्ठजीको हर्षपूर्वक चढ़ाकर फिर स्वयं शिव, गुरु, गौरी (पार्वती) और गणेशजीका स्मरण करके [दूसरे] रथपर चढ़े॥ ३०१ ॥",आपु चढ़ेउ स्यंदन सुमिरि हर गुर गौरि गनेसु॥ ३०१ ॥
"वसिष्ठजीके साथ [जाते हुए] राजा दशरथजी कैसे शोभित हो रहे हैं, जैसे देवगुरु बृहस्पतिजीके साथ इन्द्र हों। वेदकी विधिसे और कुलकी रीतिके अनुसार सब कार्य करके तथा सबको सब प्रकारसे सजे देखकर,॥ १ ॥",करि कुल रीति बेद बिधि राऊ। देखि सबहि सब भाँति बनाऊ॥ १ ॥
"श्रीरामचन्द्रजीका स्मरण करके, गुरुकी आज्ञा पाकर पृथ्वीपति दशरथजी शंख बजाकर चले। बारात देखकर देवता हर्षित हुए और सुन्दर मड्गनलदायक फूलोंकी वर्षा करने लगे॥ २ ॥",हरषे बिबुध बिलोकि बराता। बरषहिं सुमन सुमंगल दाता॥ २ ॥
"बड़ा शोर मच गया, घोड़े और हाथी गरजने लगे। आकाशमें और बारातमें [दोनों जगह ] बाजे बजने लगे। देवाड़नाएँ और मनुष्योंकी स्त्रियाँ सुन्दर मड्लगान करने लगीं और रसीले रागसे शहनाइयाँ बजने लगीं॥ ३ ॥",सुर नर नारि सुमंगल गाईं। सरस राग बाजहिं सहनाईं॥ ३ ॥
घंटे-घंटियोंकी ध्वनिका वर्णन नहीं हो सकता। पैदल चलनेवाले सेवकगण अथवा पट्टेबाज कसरतके खेल कर रहे हैं और फहरा रहे हैं (आकाशमें ऊँचे उछलते हुए जा रहे हैं)। हँसी करनेमें निपुण और सुन्दर गानेमें चतुर विदूषक (मसखरे) तरह-तरहके तमाशे कर रहे हैं॥ ४ ॥,करहिं बिदूषक कौतुक नाना। हास कुसल कल गान सुजाना॥ ४ ॥
सुन्दर राजकुमार मृदड़ और नगाड़ेके शब्द सुनकर घोड़ोंको उन्हींके अनुसार इस प्रकार नचा रहे हैं कि वे तालके बंधानसे जरा भी डिगते नहीं हैं। चतुर नट चकित होकर यह देख रहे हैं॥ ३०२ ॥,नागर नट चितवहिं चकित डगहिं न ताल बंधान॥ ३०२ ॥
"बारात ऐसी बनी है कि उसका वर्णन करते नहीं बनता। सुन्दर शुभदायक शकुन हो रहे हैं। नीलकंठ पक्षी बायीं ओर चारा ले रहा है, मानो सम्पूर्ण मड्लोंकी सूचना दे रहा हो॥ १ ॥",चारा चाषु बाम दिसि लेई। मनहुँ सकल मंगल कहि देई॥ १ ॥
"दाहिनी ओर कौआ सुन्दर खेतमें शोभा पा रहा है। नेवलेका दर्शन भी सब किसीने पाया। तीनों प्रकारकी (शीतल, मन्द, सुगन्धित) हवा अनुकूल दिशामें चल रही है। श्रेष्ठ (सुहागिनी) स्त्रियाँ भरे हुए घड़े और गोदमें बालक लिये आ रही हैं॥ २ ॥",सानुकूल बह त्रिबिध बयारी। सघट सबाल आव बर नारी॥ २ ॥
"लोमड़ी फिर-फिरकर (बार-बार) दिखायी दे जाती है। गायें सामने खड़ी बछड़ोंको दूध पिलाती हैं। हरिनोंकी टोली [बायीं ओरसे] घूमकर दाहिनी ओरको आयी, मानो सभी मड़लोंका समूह दिखायी दिया॥ ३ ॥",मृगमाला फिरि दाहिनि आई। मंगल गन जनु दीन्हि देखाई॥ ३ ॥
"क्षेमकरी (सफेद सिरवाली चील) विशेष रूपसे क्षेम (कल्याण) कह रही है। श्यामा बायीं ओर सुन्दर पेड़पर दिखायी पड़ी। दही, मछली और दो दिद्वान्‌ ब्राह्मण हाथमें पुस्तक लिये हुए सामने आये॥ ४ ॥",सनमुख आयउ दधि अरु मीना। कर पुस्तक दुड़ बिप्र प्रबीना॥ ४ ॥
"सभी मड्जलमय, कल्याणमय और मनोवाज्छित फल देनेवाले शकुन मानो सच्चे होनेके लिये एक ही साथ हो गये॥ ३०३ ॥",जनु सब साचे होन हित भए सगुन एक बार॥ ३०३ ॥
"स्वयं सगुण ब्रह्म जिसके सुन्दर पुत्र हैं, उसके लिये सब मड्गल शकुन सुलभ हैं। जहाँ श्रीरामचन्द्रजी-सरीखे दूल्हा और सीताजी-जैसी दुलहिन हैं तथा दशरथजी और जनकजी-जैसे पवित्र समधी हैं,॥ १ ॥",राम सरिस बरु दुलहिनि सीता। समधी दसरथु जनकु पुनीता॥ १ ॥
"ऐसा ब्याह सुनकर मानो सभी शकुन नाच उठे [और कहने लगे--] अब ब्रह्माजीने हमको सच्चा कर दिया। इस तरह बारातने प्रस्थान किया। घोड़े, हाथी गरज रहे हैं और नगाड़ोंपर चोट लग रही है॥ २ ॥",एहि बिधि कीन्ह बरात पयाना। हय गय गाजहिं हने निसाना॥ २ ॥
"सूर्यवंशके पताकास्वरूप दशरथजीको आते हुए जानकर जनकजीने नदियोंपर पुल बँधवा दिये। बीच- बीचमें ठहरनेके लिये सुन्दर घर (पड़ाव) बनवा दिये, जिनमें देबलोकके समान सम्पदा छायी है,॥ ३ ॥",बीच बीच बर बास बनाए। सुरपुर सरिस संपदा छाए॥ ३ ॥
"और जहाँ बारातके सब लोग अपने-अपने मनकी पसंदके अनुसार सुहावने उत्तम भोजन, बिस्तर और वस्त्र पाते हैं। मनके अनुकूल नित्य नये सुखोंको देखकर सभी बरातियोंको अपने घर भूल गये॥ ४ ॥",नित नूतन सुख लखि अनुकूले। सकल बरातिन्ह मंदिर भूले॥ ४ ॥
"बड़े जोरसे बजते हुए नगाड़ोंकी आवाज सुनकर श्रेष्ठ बारातको आती हुई जानकर अगवानी करनेवाले हाथी, रथ, पैदल और घोड़े सजाकर बारात लेने चले॥ ३०४ ॥",सजि गज रथ पदचर तुरग लेन चले अगवान॥ ३०४ ॥
"[दूध, शर्बत, ठंढाई, जल आदिसे] भरकर सोनेके कलश तथा जिनका वर्णन नहीं हो सकता ऐसे अमृतके समान भाँति-भाँतिके सब पकवानोंसे भरे हुए परात, थाल आदि अनेक प्रकारके सुन्दर बर्तन,॥ १ ॥",भेे सुधासम सब पकतवाने। नाना भाँति न जाहिं बखाने॥ १ ॥
"उत्तम फल तथा और भी अनेकों सुन्दर वस्तुएँ राजाने हर्षित होकर भेंटके लिये भेजीं। गहने, कपड़े, नाना प्रकारकी मूल्यवान्‌ मणियाँ (रत्न), पक्षी, पशु, घोड़े, हाथी और बहुत तरहकी सवारियाँ,॥ २ ॥",भूषन बसन महामनि नाना। खग मृग हय गय बहु बिधि जाना॥ २ ॥
"तथा बहुत प्रकारके सुगन्धित एवं सुहावने मड्गल-द्रव्य और सगुनके पदार्थ राजाने भेजे। दही, चिउठड़ा और अगणित उपहारकी चीजें काँवरोंमें भर-भरकर कहार चले॥ ३ ॥",दधि चिउरा उपहार अपारा। भरि भरि काँवरि चले कहारा॥ ३ ॥
"अगवानी करनेवालोंको जब बारात दिखायी दी, तब उनके हृदयमें आनन्द छा गया और शरीर रोमाझ्से भर गया। अगवानोंको सज-धजके साथ देखकर बरातियोंने प्रसन्‍न होकर नगाड़े बजाये॥ ४ ॥",देखि बनाव सहित अगवाना। मुदित बरातिन्ह हने निसाना॥ ४ ॥
"[बराती तथा अगवानोंमेंसे] कुछ लोग परस्पर मिलनेके लिये हर्षके मारे बाग छोड़कर (सरपट) दौड़ चले, और ऐसे मिले मानो आनन्दके दो समुद्र मर्यादा छोड़कर मिलते हों॥ ३०५ ॥",जनु आनंद समुद्र दुई मिलत बिहाइ सुबेल॥ ३०५ ॥
"देवसुन्दरियाँ फूल बरसाकर गीत गा रही हैं, और देवता आनन्दित होकर नगाड़े बजा रहे हैं। [अगवानीमें आये हुए] उन लोगोंने सब चीजें दशरथजीके आगे रख दीं और अत्यन्त प्रेमसे विनती कौ॥ १ ॥",बस्तु सकल राखीं नृप आगें। बिनय कीन्हि तिन्ह अति अनुरागें॥ १ ॥
"राजा दशरथजीने प्रेमसहित सब वस्तुएँ ले लीं, फिर उनकी बख्शीशें होने लगीं और वे याचकोंको दे दी गयीं। तदनन्तर पूजा, आदर-सत्कार और बड़ाई करके अगवान लोग उनको जनवासेकी ओर लिवा ले चले॥ २ ॥",करि पूजा मान्यता बड़ाई। जनवासे कहूँ चले लवाई॥ २ ॥
"विलक्षण स्त्रोंके पाँवड़े पड़ रहे हैं, जिन्हें देखकर कुबेर भी अपने धनका अभिमान छोड़ देते हैं। बड़ा सुन्दर जनवासा दिया गया, जहाँ सबको सब प्रकारका सुभीता था॥ ३ ॥",अति सुंदर दीन्हेउ जनवासा। जहूँ सब कहूँ सब भाँति सुपासा॥ ३ ॥
सीताजीने बारात जनकपुरमें आयी जानकर अपनी कुछ महिमा प्रकट करके दिखलायी। हृदयमें स्मरणकर सब सिद्धियोंको बुलाया और उन्हें राजा दशरथजीकी मेहमानी करनेके लिये भेजा॥ ४ ॥,हृदय सुमिरि सब सिद्धि बोलाईं। भूप पहुनई करन पठाईं॥ ४ ॥
"सीताजीकी आज्ञा सुनकर सब सिद्धियाँ जहाँ जनवासा था वहाँ सारी सम्पदा, सुख और इन्द्रपुरके भोग-विलासको लिये हुए गयीं॥ ३०६ ॥",लिए संपदा सकल सुख सुरपुर भोग बिलास॥ ३०६ ॥
बरातियोंने अपने-अपने ठहरनेके स्थान देखे तो वहाँ देवताओंके सब सुखोंको सब प्रकारसे सुलभ पाया। इस ऐश्वर्यका कुछ भी भेद कोई जान न सका। सब जनकजीकी बड़ाई कर रहे हैं॥ १ ॥,बिभव भेद कछु कोठउ न जाना। सकल जनक कर करहिं बखाना॥ १ ॥
श्रीरथुनाथजी यह सब सीताजीकी महिमा जानकर और उनका प्रेम पहचानकर हृदयमें हर्षित हुए। पिता दशरथजीके आनेका समाचार सुनकर दोनों भाइयोंके हृदयमें महान्‌ आनन्द समाता न था॥ २ ॥,पितु आगमनु सुनत दोउ भाई। हृदय न अति आनंदु अमाई॥ २ ॥
"संकोचवश वे गुरु विश्वामित्रजीसे कह नहीं सकते थे; परन्तु मनमें पिताजीके दर्शनोंकी लालसा थी। विश्वामित्रजीने उनकी बड़ी नम्नता देखी, तो उनके हृदयमें बहुत सन्तोष उत्पन्न हुआ॥ ३ ॥",बिस्वामित्र बिनय बड़ि देखी। उपजा उर संतोषु बिसेषी॥ ३ ॥
"प्रसन्‍न होकर उन्होंने दोनों भाइयोंको हृदयसे लगा लिया। उनका शरीर पुलकित हो गया और नेत्रोंमें (प्रेमाशुओंका) जल भर आया। वे उस जनवासेको चले, जहाँ दशरथजी थे। मानो सरोवर प्यासेकी ओर लक्ष्य करके चला हो॥ ४ ॥",चले जहाँ दसरथु जनवासे। मनहूँ सरोबर तकेउ पिआसे॥ ४ ॥
"जब राजा दशरथजीने पुत्रोंसहित मुनिको आते देखा, तब वे हर्षित होकर उठे और सुखके समुद्रमें थाह-सी लेते हुए चले॥ ३०७ ॥",उठे हरषि सुखसिंधु महुँ चले थाह सी लेत॥ ३०७ ॥
पृथ्वीपति दशरथजीने मुनिकी चरणधूलिको बारंबार सिरपर चढ़ाकर उनको दण्डवतू प्रणाम किया। विश्वामित्रजीने राजाकों उठाकर हृदयसे लगा लिया और आशीर्वाद देकर कुशल पूछी॥ १ ॥,कौसिक राउ लिए उर लाई। कहि असीस पूछी कुसलाई॥ १ ॥
फिर दोनों भाइयोंको दण्डवत्‌ प्रणाम करते देखकर राजाके हृदयमें सुख समाया नहीं पुत्रोंको [उठाकर] हृदयसे लगाकर उन्होंने अपने [वियोगजनित] दुःसह दुःखको मिटाया। मानो मृतक शरीरको प्राण मिल गये हों॥ २ ॥,सुत हियेँ लाइ दुसह दुख मेटे। मृतक सरीर प्रान जनु भेंटे॥ २ ॥
फिर उन्होंने वसिष्ठजीके चरणोंमें सिर नवाया। मुनिश्रेष्ठने प्रेमके आनन्दमें उन्हें हृदयसे लगा लिया। दोनों भाइयोंने सब ब्राह्मणोंकी वन्दगा की और मनभाये आशीर्वाद पाये॥ ३ ॥,बिप्र बूंद बंदे दुहुँ भाईं। मनभावती असीसें पाई॥ ३ ॥
भरतजीने छोटे भाई शत्रुघ्नसहित श्रीरामचन्द्रजीको प्रणाम किया। श्रीरामजीने उन्हें उठाकर हृदयसे लगा लिया। लक्ष्मणजी दोनों भाइयोंको देखकर हर्षित हुए और प्रेमसे परिपूर्ण हुए शरीरसे उनसे मिले॥ ४ ॥,हरषे लखन देखि दोउ भ्राता। मिले प्रेम परिपूरित गाता॥ ४ ॥
"तदनन्तर परम कृपालु और विनयी श्रीरामचन्द्रजी अयोध्यावासियों, कुटुम्बियों, जातिके लोगों, याचकों, मन्त्रियों और मित्रों-सभीसे यथायोग्य मिले॥ ३०८ ॥",मिले जथाबिधि सबहि प्रभु परम कृपाल बिनीत॥ ३०८ ॥
"श्रीरामचन्द्रजीको देखकर बारात शीतल हुई (रामके वियोगमें सबके हृदयमें जो आग जल रही थी, वह शान्त हो गयी)। प्रीतिकी रीतिका बखान नहीं हो सकता। राजाके पास चारों पुत्र ऐसी शोभा पा रहे हैं मानो अर्थ, धर्म, काम और मोक्ष शरीर धारण किये हुए हों॥ १ ॥",नृूप समीप सोहहिं सुत चारी। जनु धन धरमादिक तनुधारी॥ १ ॥
पुत्रोंसहित दशरथजीको देखकर नगरके स्त्री-पुरुष बहुत ही प्रसन्न हो रहे हैं। [आकाशमें ] देवता फूलोंकी वर्षा करके नगाड़े बजा रहे हैं और अप्सराएँ गा-गाकर नाच रही हैं॥ २ ॥,सुमन बरिसि सुर हनहिं निसाना। नाकनटीं नाचहिं करि गाना॥ २ ॥
"अगवानीमें आये हुए शतानन्दजी, अन्य ब्राह्मण, मन्त्रीगण, मागध, सूत, विद्वानू और भाटोंने बारातसहित राजा दशरथजीका आदर-सत्कार किया। फिर आज्ञा लेकर वे वापस लौटे॥ ३ ॥",सहित बरात राउ सनमाना। आयसु मागि फिरे अगवाना॥ ३ ॥
"बारात लग्नके दिनसे पहले आ गयी है, इससे जनकपुरमें अधिक आनन्द छा रहा है। सब लोग ब्रह्मानन्द प्राप्त कर रहे हैं और विधातासे मनाकर कहते हैं कि दिन-रात बढ़ जाय॑ँ (बड़े हो जायूँ)॥ ४ ॥",ब्रह्मानंदं लोग सब लहहीं। बढ़हुँ दिवस निसि बिधि सन कहहीं॥ ४ ॥
"श्रीरामचन्द्रजी और सीताजी सुन्दरताकी सीमा हैं और दोनों राजा पुण्यकी सीमा हैं, जहाँ-तहाँ जनकपुरवासी स्त्री-पुरुषोंक समूह इकट्ठे हो-होकर यही कह रहे हैं॥ ३०९ ॥",जहेँ तहँ पुरजन कहहिं अस मिलि नर नारि समाज॥ ३०९ ॥
जनकजीके सुकृत (पुण्य) की मूर्ति जानकीजी हैं और दशरथजीके सुकृत देह धारण किये हुए श्रीरामजी हैं। इन [दोनों राजाओं] के समान किसीने शिवजीकी आराधना नहीं की; और न इनके समान किसीने फल ही पाये॥ १ ॥,इन्ह सम काहुँ न सिव अवराधे। काहुँ न इन्ह समान फल लाधे॥ १ ॥
"इनके समान जगत्‌में न कोई हुआ, न कहीं है, न होनेका ही है। हम सब भी सम्पूर्ण पुण्योंकी राशि हैं, जो जगत्‌में जन्म लेकर जनकपुरके निवासी हुए,॥ २ ॥",हम सब सकल सुकृत कै रासी। भए्‌ जग जनमि जनकपुर बासी॥ २ ॥
और जिन्होंने जानकीजी और श्रीरामचन्द्रजीकी छबि देखी है। हमारे-सरीखा विशेष पुण्यात्मा कौन होगा! और अब हम श्रीरघुनाथजीका विवाह देखेंगे और भलीकभाँति नेत्रोंका लाभ लेंगे॥ ३ ॥,पुनि देखब रघुबीर बिआहू। लेब भली बिधि लोचन लाहू॥ ३ ॥
"कोयलके समान मधुर बोलनेवाली स्त्रियाँ आपसमें कहती हैं कि हे सुन्दर नेत्रोंवाली ! इस विवाहमें बड़ा लाभ है। बड़े भाग्यसे विधाताने सब बात बना दी है, ये दोनों भाई हमारे नेत्रोंक अतिथि हुआ करेंगे॥ ४ ॥",बड़ें भाग बिधि बात बनाई। नयन अतिथि होइहहिं दोउ भाई॥ ४ ॥
"जनकजी खस्रेहवश बार-बार सीताजीको बुलावेंगे, और करोड़ों कामदेवोंके समान सुन्दर दोनों भाई सीताजीको लेने (विदा कराने) आया करेंगे॥ ३१० ॥",लेन आइहहिं बंधु दोड कोटि काम कमनीय॥ ३१० ॥
तब उनकी अनेकों प्रकारसे पहुनाई होगी। सखी! ऐसी ससुराल किसे प्यारी न होगी! तब- तब हम सब नगरनिवासी श्रीराम-लक्ष्मणको देख-देखकर सुखी होंगे॥ १ ॥,तब तब राम लखनहि निहारी। होइहहिं सब पुर लोग सुखारी॥ १ ॥
